Number,City,Country,Latitude,Longitude,Temp,Humidity,Cloudiness,Windspeed
426,belyy yar,RU,53.6039,91.3903,-7.6,71,59,2.24
427,chepareria,KE,1.3077,35.2039,85.44,15,99,10.54
428,carutapera,BR,-1.195,-46.02,81.25,82,57,8.21
429,monrovia,LR,6.3005,-10.7969,86.0,79,75,4.61
430,coxim,BR,-18.5067,-54.76,81.19,74,89,5.35
431,rize,TR,40.9044,40.8949,46.13,55,93,2.46
432,fereydun kenar,IR,36.6864,52.5225,57.36,61,0,10.11
433,ust-tsilma,RU,65.441,52.1498,14.25,95,100,8.14
434,uyuni,BO,-20.4597,-66.825,54.82,52,87,12.21
435,killybegs,IE,54.6333,-8.45,41.11,100,90,16.11
436,kosh-agach,RU,50.0,88.6667,1.15,76,20,1.95
437,kautokeino,NO,69.0125,23.0412,7.45,93,34,3.6
438,salta,AR,-24.7859,-65.4117,62.6,88,90,2.3
439,koslan,RU,63.4564,48.8989,16.0,96,100,7.11
440,kamenka,RU,51.3223,42.7678,33.01,96,100,6.71
441,beberibe,BR,-4.1797,-38.1306,84.2,65,75,19.57
442,kashi,CN,39.4547,75.9797,41.0,26,0,8.95
443,nara,JP,34.6851,135.8049,37.76,70,20,8.05
444,akureyri,IS,65.6835,-18.0878,15.8,67,0,8.05
445,houma,US,29.5958,-90.7195,35.17,86,1,5.75
446,niamey,NE,13.5137,2.1098,91.4,5,0,12.66
447,madison,US,34.7334,-86.5667,27.75,80,1,10.36
448,scarborough,GB,54.2797,-0.4044,35.6,93,100,5.99
449,nador,MA,35.174,-2.9287,67.03,68,20,10.36
450,atbasar,KZ,51.8,68.3333,18.84,97,100,7.47
451,mogadishu,SO,2.0371,45.3438,84.2,54,0,19.57
452,atasu,KZ,48.6814,71.6433,10.53,89,25,3.38
453,angoche,MZ,-16.2325,39.9086,89.13,56,0,11.65
454,igrim,RU,63.1906,64.4162,19.0,94,89,10.56
455,rio grande,BR,-32.035,-52.0986,81.16,69,0,5.75
456,luau,AO,-10.7073,22.2247,79.74,69,96,3.78
457,am timan,TD,11.0297,20.2827,104.29,9,0,1.95
458,disna,BY,55.568,28.1971,23.72,96,100,10.83
459,springdale,US,36.1867,-94.1288,28.2,100,1,3.83
460,quelimane,MZ,-17.8786,36.8883,92.07,62,40,3.44
461,skjern,DK,55.95,8.5,29.86,100,75,10.36
462,tutoia,BR,-2.7619,-42.2744,86.0,66,40,17.27
463,sal rei,CV,16.1833,-22.9167,75.2,69,40,19.57
464,opuwo,NA,-18.0607,13.84,87.53,19,58,4.83
465,kunya,NG,12.2233,8.5325,86.0,13,0,9.22
466,zamora,EC,-4.0692,-78.9567,66.2,88,75,1.14
467,korla,CN,41.7597,86.1469,29.34,77,92,4.09
468,natal,BR,-5.795,-35.2094,82.4,69,75,17.27
469,leshukonskoye,RU,64.8989,45.7622,9.27,95,99,6.62
470,kismayo,SO,-0.3582,42.5454,82.83,64,59,17.43
471,slobozia,MD,46.7281,29.7078,33.8,86,90,5.75
472,simi,SL,9.5667,-12.35,99.39,29,18,0.98
473,nokia,FI,61.4667,23.5,12.2,85,0,1.14
474,guardiagrele,IT,42.1954,14.2198,51.24,82,90,3.44
475,marsh harbour,BS,26.5412,-77.0636,59.07,73,67,32.48
476,morondava,MG,-20.2833,44.2833,88.02,68,72,12.1
477,bereda,ES,43.2686,-7.5406,53.98,99,96,17.0
478,bandipur,NP,27.9333,84.4167,56.12,44,0,4.05
479,kesan,TR,40.8558,26.6303,59.56,88,40,8.05
480,kayerkan,RU,69.3497,87.7602,-13.0,86,98,7.36
481,puerto carreno,CO,6.189,-67.4859,77.45,66,100,11.39
482,ilebo,CD,-4.3167,20.5833,80.87,71,97,2.68
483,kontagora,NG,10.3999,5.4695,97.81,9,0,6.35
484,nalut,LY,30.3333,10.85,65.16,32,0,16.53
485,vegachi,CO,6.7614,-74.7947,65.23,93,87,2.26
486,gijon,ES,43.5357,-5.6615,61.32,86,80,1.01
487,odweyne,SO,9.4092,45.064,82.08,16,34,20.07
488,olbia,IT,40.9214,9.4856,64.4,52,20,13.8
489,goundam,ML,16.4145,-3.6708,86.49,11,78,13.27
490,marzuq,YE,14.4,46.4667,80.6,15,0,11.25
491,barry,GB,51.4067,-3.2694,51.22,87,90,8.05
492,biu,NG,10.6129,12.1946,93.06,11,0,6.55
493,suez,EG,29.9737,32.5263,78.84,18,0,6.44
494,jaguaruna,BR,-28.615,-49.0256,80.17,74,27,2.24
495,khash,IR,28.2211,61.2158,64.17,24,0,4.38
496,qandala,SO,11.472,49.8728,76.93,52,6,8.93
497,hammerfest,NO,70.6634,23.6821,24.8,93,90,5.75
498,zwedru,LR,6.0667,-8.1281,94.41,40,37,2.57
499,guasdualito,VE,7.2424,-70.7324,73.65,64,78,4.16
500,dudinka,RU,69.4058,86.1778,-7.83,87,100,10.65
501,carpentras,FR,44.0833,5.1667,53.58,87,0,2.3
502,mastung,PK,29.7994,66.845,53.78,36,0,16.24
503,karpinsk,RU,59.7654,60.0085,15.28,96,15,3.98
504,saint-ambroise,CA,48.5501,-71.3324,-5.73,92,14,2.3
505,sjovegan,NO,68.8726,17.8474,11.75,85,0,6.04
506,lillehammer,NO,61.1146,10.4674,16.5,88,18,4.05
507,vendas novas,PT,38.6771,-8.4579,60.6,72,75,11.5
508,garissa,KE,-0.4536,39.6401,94.69,31,75,8.08
509,kalaswala,PK,32.2009,74.6491,67.19,52,40,4.61
510,libreville,GA,0.3925,9.4537,86.0,74,20,5.75
511,tashtagol,RU,52.7657,87.8894,18.88,94,0,1.25
512,prainha,BR,-1.8,-53.48,80.92,70,94,5.06
513,tucurui,BR,-3.7661,-49.6725,78.17,89,47,3.58
514,kharp,RU,66.8014,65.8081,2.66,92,94,3.42
515,luba,GQ,3.4568,8.5547,82.31,73,83,6.64
516,klaksvik,FO,62.2266,-6.589,33.8,86,20,3.44
517,mehran,IR,33.1222,46.1646,62.6,27,0,4.61
518,gamboma,CG,-1.8764,15.8644,96.69,41,55,1.92
519,aneho,TG,6.2333,1.6,91.4,58,20,10.36
520,eyl,SO,7.9803,49.8164,80.29,51,62,23.35
521,farafangana,MG,-22.8167,47.8333,85.59,67,40,10.89
